Player,Rank,ADP,Finish2024,Team,Pos,PosRank,Notes,Id
Ja'Marr Chase,1,1.1,2,CIN,WR,1,,b24eb93f-72bd-4c23-bed6-807d542bab65
CeeDee Lamb,2,4.4,29,DAL,WR,2,,1b76bd49-ac28-457e-96a6-4b2135c9ff73
Saquon Barkley,3,4.4,1,PHI,RB,1,,1dad2b6f-6089-4844-8319-6f1eb23b5003
Jahmyr Gibbs,4,5.4,3,DET,RB,2,,0ec23474-d4b8-4dcd-9157-b6de1fb8ff84
Bijan Robinson,5,2.7,5,ATL,RB,3,,b42031b0-6abb-4621-90c0-e3f8041f6c9d
Christian McCaffrey,6,7.4,,SF,RB,4,,baefa551-0611-4836-b43a-1d6c105211b7
Puka Nacua,7,8.2,20,LA,WR,3,,827b3a04-55f4-4c0e-940f-62be3233dd15
Justin Jefferson,8,3.5,18,MIN,WR,4,,fb2b25a4-b791-4ef0-bc45-41099b503a69
Nico Collins,9,10.1,21,HOU,WR,5,,13c991e1-747d-4cbd-9bdb-a5e017bdb77b
Malik Nabers,10,9.6,28,NYG,WR,6,,c2ff3b1f-dbc0-4314-986a-3a2c1dc5bf50
De'Von Achane,11,13.5,15,MIA,RB,5,,9a97b0b2-fda2-4d87-8392-50b32ea6fcd3
Amon-Ra St. Brown,12,11.6,9,DET,WR,7,,3ee87ad4-537e-46ac-8cf4-d2bf5f8540ed
Brian Thomas,13,13,25,JAX,WR,8,,6d89c0c5-4756-43ab-b80f-70fc83e5efa8
Derrick Henry,14,14.7,4,BAL,RB,6,,9b791eb1-eb3f-4216-87c5-a381fd694aff
Drake London,15,15.8,34,ATL,WR,9,,0fd6a099-0696-4aeb-b7c8-bf3c5280db0f
A.J. Brown,16,17.3,37,PHI,WR,10,,2eb19695-162b-4d6f-970d-266b3513ddbd
Brock Bowers,17,19.1,52,LV,TE,1,,d98df6de-a814-477a-bd9b-b6a747f32ab4
Ladd McConkey,18,18.4,33,LAC,WR,11,,f41070b3-c28d-4cff-afb4-6bae844edabf
Ashton Jeanty,19,12.5,,LV,RB,7,Rookie,8f217c44-cc37-44a8-84f9-d82cd3fe91ff
Tee Higgins,20,24.4,12,CIN,WR,12,,43973f1b-ff52-44cd-a5d1-43426587f368
Tyreek Hill,21,21.2,78,MIA,WR,13,,d8aca1d5-8318-4ada-9cf1-18ef1b60b464
Jonathan Taylor,22,21,6,IND,RB,8,,a93a8358-f3eb-4a07-9a85-a13a0b2427a2
Josh Jacobs,23,24.7,7,GB,RB,9,,9ecd270d-e314-466e-8cff-126385d8a9e9
Chase Brown,24,25.1,22,CIN,RB,10,,221733f8-7235-4b9e-a2cd-45dad292e33b
Lamar Jackson,25,31.9,24,BAL,QB,1,,c3c29d05-6c66-4726-b2b3-01f5323a8087
Trey McBride,26,26.5,60,ARI,TE,2,,d6c8b5b5-c01a-43d4-84b5-cbad5e4a7f21
Bucky Irving,27,22.1,32,TB,RB,11,,1bc16f8e-964e-4946-b3da-bd7b7fe8731e
Breece Hall,28,33.6,35,NYJ,RB,12,,0f31f57a-5461-4802-811e-f84fde65f9b5
Garrett Wilson,29,28.8,57,NYJ,WR,14,,146fb59c-b8ff-414a-86a7-3c2e612a81c0
Josh Allen,30,30.6,30,BUF,QB,2,,0467ab97-0708-4a95-88ef-124455ac4ac1
Davante Adams,31,29.1,27,LA,WR,15,,3bca74ae-aea9-4b96-9cfa-ba6320a9dca6
Omarion Hampton,32,35.5,,LAC,RB,13,Rookie,fd373123-6fc9-4e2c-829c-9879ae96caea
Jayden Daniels,33,38.9,39,WAS,QB,3,,09d74295-61f2-4824-b49b-f1c677be0763
Xavier Worthy,34,41.3,47,KC,WR,16,,4122e07d-fe79-4816-9292-4f6a94b00cbc
Kenneth Walker III,35,49.9,26,SEA,RB,14,,ffbb0124-5050-4795-b305-591cb44a8490
James Cook,36,43.6,11,BUF,RB,15,,cf7f210d-aa77-4481-a6ce-def8eb13c4a7
Mike Evans,37,37.3,17,TB,WR,17,,c72e9110-c8be-4bcf-a567-d78c9f3073d1
George Kittle,38,39,36,SF,TE,3,,6d78912a-4699-4228-9e18-621c213202a7
Jalen Hurts,39,44.3,49,PHI,QB,4,,a547b04a-38e6-435e-9f9d-81a34e7aac6c
Chuba Hubbard,40,52.4,16,CAR,RB,16,,a8c3cb2b-7728-4ee0-8f89-f218e5e0c409
Alvin Kamara,41,56.2,10,NO,RB,17,,d2928ec9-ae89-4894-aded-09b6602cf28e
Kyren Williams,42,34.8,14,LA,RB,18,,48699f93-77e6-48ee-93cc-df880846796f
