Rank,Player,Pos,Team,ADP,Pos Rank,Bye,Finish2024,Notes
1,Ja'Marr Chase,WR,CIN,1.0,1,10,2.0,
2,Bijan Robinson,RB,ATL,2.7,1,5,5.0,
3,Saquon Barkley,RB,PHI,2.7,2,9,1.0,
4,Justin Jefferson,WR,MIN,5.0,2,6,18.0,
5,Jahmyr Gibbs,RB,DET,4.0,3,8,3.0,
6,CeeDee Lamb,WR,DAL,6.0,3,10,29.0,
7,Puka Nacua,WR,LAR,9.0,4,8,20.0,
8,Christian McCaffrey,RB,SF,9.3,4,14,,
9,Malik Nabers,WR,NYG,10.7,5,14,28.0,
10,Amon-Ra St. Brown,WR,DET,9.3,6,8,9.0,
11,De'Von Achane,RB,MIA,14.3,5,12,15.0,
12,Nico Collins,WR,HOU,12.3,7,6,21.0,
13,Ashton Jeanty,RB,LV,10.3,6,8,,Rookie
14,Derrick Henry,RB,BAL,9.7,7,7,4.0,
15,Brian Thomas,WR,JAC,15.0,8,8,25.0,
16,Drake London,WR,ATL,19.7,9,5,34.0,
17,A.J. Brown,WR,PHI,20.3,10,9,37.0,
18,Josh Jacobs,RB,GB,17.0,8,5,7.0,
19,Jonathan Taylor,RB,IND,19.0,9,11,6.0,
20,Bucky Irving,RB,TB,19.3,10,9,32.0,
21,Chase Brown,RB,CIN,23.7,11,10,22.0,
22,Ladd McConkey,WR,LAC,25.0,11,12,33.0,
23,Brock Bowers,TE,LV,17.7,1,8,52.0,
24,Trey McBride,TE,ARI,27.3,2,8,60.0,
25,Josh Allen,QB,BUF,21.3,1,7,30.0,
26,Lamar Jackson,QB,BAL,23.0,2,7,24.0,
27,Kyren Williams,RB,LAR,25.3,12,8,14.0,
28,Tyreek Hill,WR,MIA,29.7,12,12,78.0,
29,Tee Higgins,WR,CIN,32.3,13,10,12.0,
30,Jaxon Smith-Njigba,WR,SEA,31.3,14,8,44.0,
31,Jayden Daniels,QB,WAS,29.0,3,12,39.0,
32,George Kittle,TE,SF,37.3,3,14,36.0,
33,Kenneth Walker III,RB,SEA,42.0,13,8,26.0,
34,Marvin Harrison,WR,ARI,40.0,15,8,74.0,
35,Garrett Wilson,WR,NYJ,35.3,16,9,57.0,
36,Mike Evans,WR,TB,39.7,17,9,17.0,
37,James Cook,RB,BUF,31.7,14,7,11.0,
38,Davante Adams,WR,LAR,39.7,18,8,27.0,
39,Jalen Hurts,QB,PHI,37.7,4,9,49.0,
40,Alvin Kamara,RB,NO,39.3,15,11,10.0,
41,D.J. Moore,WR,CHI,48.3,19,5,70.0,
42,Joe Burrow,QB,CIN,38.3,5,10,41.0,
43,Breece Hall,RB,NYJ,31.7,16,9,35.0,
44,Chuba Hubbard,RB,CAR,42.7,17,14,16.0,
45,Terry McLaurin,WR,WAS,39.3,20,12,23.0,
46,Omarion Hampton,RB,LAC,39.3,18,12,,Rookie
47,James Conner,RB,ARI,48.0,19,8,19.0,
48,DK Metcalf,WR,PIT,49.3,21,5,82.0,
49,DeVonta Smith,WR,PHI,55.7,22,9,48.0,
50,Rashee Rice,WR,KC,50.3,23,10,,4-6 game suspension likely
51,David Montgomery,RB,DET,54.3,20,8,31.0,
52,Joe Mixon,RB,HOU,55.7,21,6,8.0,
53,D'Andre Swift,RB,CHI,62.3,22,5,63.0,
54,Jaylen Waddle,WR,MIA,73.7,24,12,136.0,
55,Courtland Sutton,WR,DEN,52.3,25,12,54.0,
56,Jameson Williams,WR,DET,62.3,26,8,51.0,
57,TreVeyon Henderson,RB,NE,62.0,23,14,,Rookie
58,Tetairoa McMillan,WR,CAR,63.7,27,14,,Rookie
59,Xavier Worthy,WR,KC,59.7,28,10,47.0,
60,George Pickens,WR,DAL,67.0,29,10,86.0,
61,Zay Flowers,WR,BAL,59.7,30,7,80.0,
62,Calvin Ridley,WR,TEN,73.7,31,10,88.0,
63,RJ Harvey,RB,DEN,56.3,24,12,,Rookie
64,T.J. Hockenson,TE,MIN,62.3,4,6,153.0,
65,Aaron Jones,RB,MIN,65.0,25,6,45.0,
66,Chris Olave,WR,NO,76.0,32,11,98.0,
67,Rome Odunze,WR,CHI,84.3,33,5,145.0,
68,Patrick Mahomes,QB,KC,56.3,6,10,114.0,
69,Sam LaPorta,TE,DET,53.0,5,8,103.0,
70,Tony Pollard,RB,TEN,66.7,26,10,62.0,
71,Kaleb Johnson,RB,PIT,67.3,27,5,,Rookie
72,Brian Robinson Jr.,RB,WAS,81.3,28,12,72.0,
73,Travis Hunter,WR,JAC,68.3,34,8,,Rookie
74,Isiah Pacheco,RB,KC,63.0,29,10,172.0,
75,Jerry Jeudy,WR,CLE,78.0,35,9,55.0,
76,Jordan Addison,WR,MIN,80.0,36,6,43.0,1-3 game suspension likely
77,Travis Kelce,TE,KC,65.3,6,10,89.0,
78,Kyler Murray,QB,ARI,92.0,7,8,108.0,
79,Baker Mayfield,QB,TB,66.0,8,9,56.0,
80,Jauan Jennings,WR,SF,99.0,37,14,53.0,
81,Chris Godwin,WR,TB,79.3,38,9,13.0,Dislocated ankle
82,Jakobi Meyers,WR,LV,99.3,39,8,69.0,
83,Deebo Samuel,WR,WAS,89.0,40,12,94.0,
84,Javonte Williams,RB,DAL,111.0,30,10,130.0,
85,Mark Andrews,TE,BAL,79.0,7,7,96.0,
86,Evan Engram,TE,DEN,87.3,8,12,180.0,
87,Tyrone Tracy,RB,NYG,83.0,31,14,81.0,
88,Justin Fields,QB,NYJ,104.7,9,9,148.0,
89,Khalil Shakir,WR,BUF,102.0,41,7,113.0,
90,Stefon Diggs,WR,NE,96.0,42,14,50.0,
91,Ricky Pearsall,WR,SF,104.7,43,14,92.0,
92,David Njoku,TE,CLE,92.3,9,9,75.0,
93,Jayden Reed,WR,GB,101.0,44,5,83.0,
94,Josh Downs,WR,IND,120.0,45,11,67.0,
