Rank,Player,Pos,Team,ADP,Pos Rank,Bye,Notes
1,Ja'Marr Chase,WR,CIN,1.0,1,10,
2,Bijan Robinson,RB,ATL,2.7,1,5,
3,Saquon Barkley,RB,PHI,2.7,2,9,
4,Jahmyr Gibbs,RB,DET,4.0,3,8,
5,Justin Jefferson,WR,MIN,5.0,2,6,
6,CeeDee Lamb,WR,DAL,6.0,3,10,
7,Christian McCaffrey,RB,SF,9.3,4,14,
8,Puka Nacua,WR,LAR,9.0,4,8,
9,Malik Nabers,WR,NYG,10.7,5,14,
10,Amon-Ra St. Brown,WR,DET,9.3,6,8,
11,De'Von Achane,RB,MIA,14.3,5,12,
12,Nico Collins,WR,HOU,12.3,7,6,
13,Brian Thomas,WR,JAC,15.0,8,8,
14,Derrick Henry,RB,BAL,9.7,6,7,
15,Drake London,WR,ATL,19.7,9,5,
16,Ashton Jeanty,RB,LV,10.3,7,8,Rookie
17,A.J. Brown,WR,PHI,20.3,10,9,
18,Josh Jacobs,RB,GB,17.0,8,5,
19,Jonathan Taylor,RB,IND,19.0,9,11,
20,Bucky Irving,RB,TB,19.3,10,9,
21,Chase Brown,RB,CIN,23.7,11,10,
22,Brock Bowers,TE,LV,17.7,1,8,
23,Ladd McConkey,WR,LAC,25.0,11,12,
24,Josh Allen,QB,BUF,21.3,1,7,
25,Lamar Jackson,QB,BAL,23.0,2,7,
26,Trey McBride,TE,ARI,27.3,2,8,
27,Tyreek Hill,WR,MIA,29.7,12,12,
28,Tee Higgins,WR,CIN,32.3,13,10,
29,Jaxon Smith-Njigba,WR,SEA,31.3,14,8,
30,Jayden Daniels,QB,WAS,29.0,3,12,
31,George Kittle,TE,SF,37.3,3,14,
32,Kyren Williams,RB,LAR,25.3,12,8,
33,Breece Hall,RB,NYJ,31.7,13,9,
34,Marvin Harrison,WR,ARI,40.0,15,8,
35,Omarion Hampton,RB,LAC,39.3,14,12,Rookie
36,Garrett Wilson,WR,NYJ,35.3,16,9,
37,Kenneth Walker III,RB,SEA,42.0,15,8,
38,James Cook,RB,BUF,31.7,16,7,
39,Mike Evans,WR,TB,39.7,17,9,
40,D.J. Moore,WR,CHI,48.3,18,5,
41,Davante Adams,WR,LAR,39.7,19,8,
42,Jalen Hurts,QB,PHI,37.7,4,9,
43,Rashee Rice,WR,KC,50.3,20,10,4-6 game suspension likely
44,Chuba Hubbard,RB,CAR,42.7,17,14,
45,Alvin Kamara,RB,NO,39.3,18,11,
46,Terry McLaurin,WR,WAS,39.3,21,12,
47,James Conner,RB,ARI,48.0,19,8,
48,RJ Harvey,RB,DEN,56.3,20,12,Rookie
49,DK Metcalf,WR,PIT,49.3,22,5,
50,DeVonta Smith,WR,PHI,55.7,23,9,
51,Joe Burrow,QB,CIN,38.3,5,10,
52,Joe Mixon,RB,HOU,55.7,21,6,
53,David Montgomery,RB,DET,54.3,22,8,
54,D'Andre Swift,RB,CHI,62.3,23,5,
55,Tetairoa McMillan,WR,CAR,63.7,24,14,Rookie
56,Jaylen Waddle,WR,MIA,73.7,25,12,
57,TreVeyon Henderson,RB,NE,62.0,24,14,Rookie
58,Jameson Williams,WR,DET,62.3,26,8,
59,George Pickens,WR,DAL,67.0,27,10,
60,Courtland Sutton,WR,DEN,52.3,28,12,
61,Xavier Worthy,WR,KC,59.7,29,10,
62,Zay Flowers,WR,BAL,59.7,30,7,
63,Calvin Ridley,WR,TEN,73.7,31,10,
64,Aaron Jones,RB,MIN,65.0,25,6,
65,T.J. Hockenson,TE,MIN,62.3,4,6,
66,Travis Hunter,WR,JAC,68.3,32,8,Rookie
67,Rome Odunze,WR,CHI,84.3,33,5,
68,Patrick Mahomes,QB,KC,56.3,6,10,
69,Tony Pollard,RB,TEN,66.7,26,10,
70,Kaleb Johnson,RB,PIT,67.3,27,5,Rookie
71,Sam LaPorta,TE,DET,53.0,5,8,
72,Brian Robinson Jr.,RB,WAS,81.3,28,12,
73,Isiah Pacheco,RB,KC,63.0,29,10,
74,Jerry Jeudy,WR,CLE,78.0,34,9,
75,Chris Olave,WR,NO,76.0,35,11,
76,Jordan Addison,WR,MIN,80.0,36,6,1-3 game suspension likely
77,Travis Kelce,TE,KC,65.3,6,10,
78,Kyler Murray,QB,ARI,92.0,7,8,
79,Baker Mayfield,QB,TB,66.0,8,9,
80,Chris Godwin,WR,TB,79.3,37,9,Dislocated ankle
81,Jakobi Meyers,WR,LV,99.3,38,8,
82,Deebo Samuel,WR,WAS,89.0,39,12,
83,Mark Andrews,TE,BAL,79.0,7,7,
84,Evan Engram,TE,DEN,87.3,8,12,
85,Jaylen Warren,RB,PIT,87.3,30,5,
86,Jauan Jennings,WR,SF,99.0,40,14,
87,Ricky Pearsall,WR,SF,104.7,41,14,
88,Jordan Mason,RB,MIN,103.3,31,6,
89,Justin Fields,QB,NYJ,104.7,9,9,
90,Khalil Shakir,WR,BUF,102.0,42,7,
91,Matthew Golden,WR,GB,109.7,43,5,Rookie
92,Stefon Diggs,WR,NE,96.0,44,14,
93,Tyrone Tracy,RB,NYG,83.0,32,14,
94,David Njoku,TE,CLE,92.3,9,9,
95,Josh Downs,WR,IND,120.0,45,11,
96,Michael Pittman Jr.,WR,IND,134.7,46,11,
97,Cam Skattebo,RB,NYG,102.3,33,14,Rookie
98,Zach Charbonnet,RB,SEA,108.0,34,8,
99,Emeka Egbuka,WR,TB,122.7,47,9,Rookie
100,Rhamondre Stevenson,RB,NE,113.7,35,14,
101,Quinshon Judkins,RB,CLE,85.3,36,9,Rookie
102,Jayden Reed,WR,GB,101.0,48,5,
103,Bo Nix,QB,DEN,75.0,10,12,
104,Dak Prescott,QB,DAL,108.3,11,10,
105,Brock Purdy,QB,SF,103.3,12,14,
106,Justin Herbert,QB,LAC,107.7,13,12,
107,Darnell Mooney,WR,ATL,144.0,49,5,
108,Brandon Aiyuk,WR,SF,124.0,50,14,Torn ACL + MCL
109,Javonte Williams,RB,DAL,111.0,37,10,
110,Keon Coleman,WR,BUF,141.0,51,7,
111,Caleb Williams,QB,CHI,111.0,14,5,
112,Rashid Shaheed,WR,NO,161.3,52,11,
113,Tyler Warren,TE,IND,115.7,10,11,Rookie
114,Colston Loveland,TE,CHI,126.3,11,5,Rookie
115,Bhayshul Tuten,RB,JAC,150.0,38,8,Rookie
116,Dallas Goedert,TE,PHI,133.0,12,9,
117,Jake Ferguson,TE,DAL,125.7,13,10,
118,Rachaad White,RB,TB,136.3,39,9,
119,Jaydon Blue,RB,DAL,137.3,40,10,Rookie
120,Drake Maye,QB,NE,128.3,15,14,
121,Najee Harris,RB,LAC,106.7,41,12,
122,Travis Etienne Jr.,RB,JAC,94.7,42,8,
123,Jared Goff,QB,DET,97.7,16,8,
124,Cooper Kupp,WR,SEA,95.0,53,8,
125,Tucker Kraft,TE,GB,108.0,14,5,
126,Dalton Kincaid,TE,BUF,127.7,15,7,
127,Jordan Love,QB,GB,129.0,17,5,
128,J.K. Dobbins,RB,DEN,116.0,43,12,
129,Jayden Higgins,WR,HOU,146.7,54,6,Rookie
130,Rashod Bateman,WR,BAL,172.0,55,7,
131,Tank Bigsby,RB,JAC,128.3,44,8,
132,Ray Davis,RB,BUF,150.7,45,7,
133,Tyler Allgeier,RB,ATL,164.3,46,5,
134,Isaac Guerendo,RB,SF,140.7,47,14,
135,Dylan Sampson,RB,CLE,167.0,48,9,Rookie
136,Trey Benson,RB,ARI,154.3,49,8,
137,Kyle Pitts,TE,ATL,144.7,16,5,Trade Candidate
138,Cedric Tillman,WR,CLE,176.5,56,9,
139,Kyle Williams,WR,NE,166.3,57,14,Rookie
140,Jonnu Smith,TE,PIT,113.0,17,5,
141,Trevor Lawrence,QB,JAC,163.0,18,8,
142,Matthew Stafford,QB,LAR,164.7,19,8,
143,C.J. Stroud,QB,HOU,130.3,20,6,
144,Tua Tagovailoa,QB,MIA,152.3,21,12,
145,J.J. McCarthy,QB,MIN,136.7,22,6,
146,Luther Burden,WR,CHI,150.3,58,5,Rookie
147,Romeo Doubs,WR,GB,192.5,59,5,
148,Quentin Johnston,WR,LAC,176.7,60,12,
149,Jaylen Wright,RB,MIA,165.3,50,12,
150,Tyjae Spears,RB,TEN,129.7,51,10,
151,Christian Kirk,WR,HOU,165.3,61,6,
152,Roschon Johnson,RB,CHI,176.5,52,5,
153,Bryce Young,QB,CAR,162.0,23,14,
154,Austin Ekeler,RB,WAS,143.3,53,12,
155,Miles Sanders,RB,DAL,205.5,54,10,
156,Xavier Legette,WR,CAR,174.0,62,14,
157,Joshua Palmer,WR,BUF,194.0,63,7,
158,Geno Smith,QB,LV,162.0,24,8,
159,Cameron Ward,QB,TEN,153.7,25,10,Rookie
160,Sam Darnold,QB,SEA,164.7,26,8,
161,Michael Penix,QB,ATL,159.3,27,5,
162,Darius Slayton,WR,NYG,252.5,64,14,
163,Jack Bech,WR,LV,160.7,65,8,Rookie
164,Nick Chubb,RB,HOU,140.0,55,6,
165,Jerome Ford,RB,CLE,148.3,56,9,
166,Isaiah Likely,TE,BAL,171.0,18,7,
167,Anthony Richardson,QB,IND,173.0,28,11,
168,Keenan Allen,WR,LAC,191.0,66,12,Free Agent
169,Michael Wilson,WR,ARI,247.0,67,8,
170,Dyami Brown,WR,JAC,248.5,68,8,
171,Marvin Mims Jr.,WR,DEN,156.7,69,12,
172,Demario Douglas,WR,NE,191.5,70,14,
173,Chig Okonkwo,TE,TEN,200.0,19,10,
174,Hunter Henry,TE,NE,163.0,20,14,
175,Brenton Strange,TE,JAC,183.3,21,8,
176,Zach Ertz,TE,WAS,171.3,22,12,
177,Theo Johnson,TE,NYG,268.5,23,14,
178,Braelon Allen,RB,NYJ,160.0,57,9,
179,Rico Dowdle,RB,CAR,151.3,58,14,
180,DJ Giddens,RB,IND,202.5,59,11,Rookie
181,Justice Hill,RB,BAL,181.0,60,7,
182,Pat Bryant,WR,DEN,226.0,71,12,Rookie
183,Jalen McMillan,WR,TB,165.7,72,9,
184,Alec Pierce,WR,IND,205.5,73,11,
185,Mason Taylor,TE,NYJ,175.0,24,9,Rookie
186,Aaron Rodgers,QB,PIT,167.7,29,5,
187,Russell Wilson,QB,NYG,219.0,30,14,
188,Will Shipley,RB,PHI,225.0,61,9,
189,MarShawn Lloyd,RB,GB,203.0,62,5,
190,Juwan Johnson,TE,NO,258.5,25,11,
191,Ja'Tavion Sanders,TE,CAR,243.0,26,14,
192,Mike Gesicki,TE,CIN,185.7,27,10,
193,Cade Otton,TE,TB,171.3,28,9,
194,Wan'Dale Robinson,WR,NYG,183.0,74,14,
195,Adam Thielen,WR,CAR,173.7,75,14,
196,Calvin Austin III,WR,PIT,256.0,76,5,
197,Dalton Schultz,TE,HOU,208.0,29,6,
198,Terrance Ferguson,TE,LAR,248.0,30,8,Rookie
199,Noah Fant,TE,CIN,298.0,31,10,
200,Jarquez Hunter,RB,LAR,207.0,63,8,Rookie
201,Blake Corum,RB,LAR,184.0,64,8,
202,Raheem Mostert,RB,LV,243.0,65,8,
203,Daniel Jones,QB,IND,238.5,31,11,
204,Tyler Shough,QB,NO,228.0,32,11,Rookie
205,Jaxson Dart,QB,NYG,240.0,33,14,Rookie
206,Tutu Atwell,WR,LAR,284.0,77,8,
207,Jaylin Noel,WR,HOU,231.5,78,6,Rookie
208,Tyler Lockett,WR,TEN,249.0,79,10,
209,DeAndre Hopkins,WR,BAL,160.7,80,7,
210,Kareem Hunt,RB,KC,173.7,66,10,
211,Devin Neal,RB,NO,215.5,67,11,Rookie
212,Devin Singletary,RB,NYG,275.5,68,14,
213,Keaton Mitchell,RB,BAL,287.0,69,7,
214,Elijah Arroyo,TE,SEA,210.5,32,8,Rookie
215,Tre Tucker,WR,LV,265.0,81,8,
216,Andrei Iosivas,WR,CIN,267.5,82,10,
217,Jalen Coker,WR,CAR,252.0,83,14,
218,Ray-Ray McCloud III,WR,ATL,243.0,84,5,
219,Jalen Tolbert,WR,DAL,305.0,85,10,
220,Diontae Johnson,WR,CLE,276.0,86,9,
221,Tyler Higbee,TE,LAR,275.0,33,8,
222,Pat Freiermuth,TE,PIT,195.3,34,5,
223,Cole Kmet,TE,CHI,260.0,35,5,
224,Dontayvion Wicks,WR,GB,280.5,87,5,
225,Adonai Mitchell,WR,IND,282.5,88,11,
226,Isaac TeSlaa,WR,DET,276.5,89,8,Rookie
227,Dont'e Thornton,WR,LV,238.0,90,8,Rookie
228,Woody Marks,RB,HOU,216.0,70,6,Rookie
229,Phil Mafah,RB,DAL,317.0,71,10,Rookie
230,Trevor Etienne,RB,CAR,255.0,72,14,Rookie
231,Brashard Smith,RB,KC,204.5,73,10,Rookie
232,Tahj Brooks,RB,CIN,224.5,74,10,Rookie
233,Kirk Cousins,QB,ATL,222.0,34,5,Trade Candidate
234,Jalen Milroe,QB,SEA,268.0,35,8,Rookie
235,Noah Gray,TE,KC,270.5,36,10,
236,Darren Waller,TE,MIA,212.3,37,12,
237,Elic Ayomanor,WR,TEN,267.5,91,10,Rookie
238,Jalen Royals,WR,KC,225.0,92,10,Rookie
239,Harold Fannin,TE,CLE,268.0,38,9,Rookie
240,Oronde Gadsden,TE,LAC,286.0,39,12,Rookie
241,Ben Sinnott,TE,WAS,285.0,40,12,
242,Isaiah Davis,RB,NYJ,315.0,75,9,
243,Ollie Gordon,RB,MIA,268.0,76,12,Rookie
244,Elijah Mitchell,RB,KC,240.5,77,10,
245,Kyle Monangai,RB,CHI,189.0,78,5,Rookie
246,Jaleel McLaughlin,RB,DEN,249.0,79,12,
247,Joe Flacco,QB,CLE,207.0,36,9,
248,Brandin Cooks,WR,NO,302.0,93,11,
249,Devaughn Vele,WR,DEN,277.0,94,12,
250,Tory Horton ,WR,SEA,268.0,95,8,Rookie
